,Event Name,Winner,Loser,Weight Class
0,UFC 234: Adesanya vs. Silva,Israel Adesanya,Anderson Silva,Middleweight
1,UFC 234: Adesanya vs. Silva,Lando Vannata,Marcos Mariano,Lightweight
2,UFC 234: Adesanya vs. Silva,Ricky Simon,Rani Yahya,Bantamweight
3,UFC 234: Adesanya vs. Silva,Montana De La Rosa,Nadia Kassem,Women's Flyweight
4,UFC 234: Adesanya vs. Silva,Jimmy Crute,Sam Alvey,Light Heavyweight
5,UFC 234: Adesanya vs. Silva,Devonte Smith,Dong Hyun Ma,Lightweight
6,UFC 234: Adesanya vs. Silva,Shane Young,Austin Arnett,Featherweight
7,UFC 234: Adesanya vs. Silva,Kai Kara-France,Raulian Paiva,Flyweight
8,UFC 234: Adesanya vs. Silva,Kyung Ho Kang,Teruto Ishihara,Bantamweight
9,UFC 234: Adesanya vs. Silva,Jalin Turner,Callan Potter,Lightweight
10,UFC 234: Adesanya vs. Silva,Jonathan Martinez,Wuliji Buren,Bantamweight
11,UFC Fight Night: Assuncao vs. Moraes 2,Marlon Moraes,Raphael Assuncao,Bantamweight
12,UFC Fight Night: Assuncao vs. Moraes 2,Jose Aldo,Renato Moicano,Featherweight
13,UFC Fight Night: Assuncao vs. Moraes 2,Demian Maia,Lyman Good,Welterweight
14,UFC Fight Night: Assuncao vs. Moraes 2,Charles Oliveira,David Teymur,Lightweight
15,UFC Fight Night: Assuncao vs. Moraes 2,Johnny Walker,Justin Ledet,Light Heavyweight
16,UFC Fight Night: Assuncao vs. Moraes 2,Livinha Souza,Sarah Frota,Women's Strawweight
17,UFC Fight Night: Assuncao vs. Moraes 2,Markus Perez,Anthony Hernandez,Middleweight
18,UFC Fight Night: Assuncao vs. Moraes 2,Mara Romero Borella,Taila Santos,Women's Flyweight
19,UFC Fight Night: Assuncao vs. Moraes 2,Thiago Alves,Max Griffin,Welterweight
20,UFC Fight Night: Assuncao vs. Moraes 2,Jairzinho Rozenstruik,Junior Albini,Heavyweight
21,UFC Fight Night: Assuncao vs. Moraes 2,Geraldo de Freitas,Felipe Colares,Featherweight
22,UFC Fight Night: Assuncao vs. Moraes 2,Said Nurmagomedov,Ricardo Ramos,Bantamweight
23,UFC Fight Night: Assuncao vs. Moraes 2,Rogerio Bontorin,Magomed Bibulatov,Flyweight
24,UFC Fight Night: Cejudo vs. Dillashaw,Henry Cejudo,TJ Dillashaw,Flyweight
25,UFC Fight Night: Cejudo vs. Dillashaw,Allen Crowder,Greg Hardy,Heavyweight
26,UFC Fight Night: Cejudo vs. Dillashaw,Gregor Gillespie,Yancy Medeiros,Lightweight
27,UFC Fight Night: Cejudo vs. Dillashaw,Joseph Benavidez,Dustin Ortiz,Flyweight
28,UFC Fight Night: Cejudo vs. Dillashaw,Paige VanZant,Rachael Ostovich,Women's Flyweight
29,UFC Fight Night: Cejudo vs. Dillashaw,Glover Teixeira,Karl Roberson,Light Heavyweight
30,UFC Fight Night: Cejudo vs. Dillashaw,Donald Cerrone,Alexander Hernandez,Lightweight
31,UFC Fight Night: Cejudo vs. Dillashaw,Joanne Calderwood,Ariane Lipski,Women's Flyweight
32,UFC Fight Night: Cejudo vs. Dillashaw,Alonzo Menifield,Vinicius Moreira,Light Heavyweight
33,UFC Fight Night: Cejudo vs. Dillashaw,Cory Sandhagen,Mario Bautista,Bantamweight
34,UFC Fight Night: Cejudo vs. Dillashaw,Dennis Bermudez,Te Edwards,Lightweight
35,UFC Fight Night: Cejudo vs. Dillashaw,Geoff Neal,Belal Muhammad,Welterweight
36,UFC Fight Night: Cejudo vs. Dillashaw,Chance Rencountre,Kyle Stewart,Welterweight
37,UFC 232: Jones vs. Gustafsson 2,Jon Jones,Alexander Gustafsson,Light Heavyweight
38,UFC 232: Jones vs. Gustafsson 2,Amanda Nunes,Cris Cyborg,Women's Featherweight
39,UFC 232: Jones vs. Gustafsson 2,Michael Chiesa,Carlos Condit,Welterweight
40,UFC 232: Jones vs. Gustafsson 2,Corey Anderson,Ilir Latifi,Light Heavyweight
41,UFC 232: Jones vs. Gustafsson 2,Alexander Volkanovski,Chad Mendes,Featherweight
42,UFC 232: Jones vs. Gustafsson 2,Walt Harris,Andrei Arlovski,Heavyweight
43,UFC 232: Jones vs. Gustafsson 2,Megan Anderson,Cat Zingano,Women's Featherweight
44,UFC 232: Jones vs. Gustafsson 2,Petr Yan,Douglas Silva de Andrade,Bantamweight
45,UFC 232: Jones vs. Gustafsson 2,Ryan Hall,BJ Penn,Lightweight
46,UFC 232: Jones vs. Gustafsson 2,Nathaniel Wood,Andre Ewell,Bantamweight
47,UFC 232: Jones vs. Gustafsson 2,Uriah Hall,Bevon Lewis,Middleweight
48,UFC 232: Jones vs. Gustafsson 2,Curtis Millender,Siyar Bahadurzada,Welterweight
49,UFC 232: Jones vs. Gustafsson 2,Montel Jackson,Brian Kelleher,Bantamweight
50,UFC Fight Night: Lee vs. Iaquinta,Al Iaquinta,Kevin Lee,Lightweight
51,UFC Fight Night: Lee vs. Iaquinta,Edson Barboza,Dan Hooker,Lightweight
52,UFC Fight Night: Lee vs. Iaquinta,Rob Font,Sergio Pettis,Bantamweight
53,UFC Fight Night: Lee vs. Iaquinta,Charles Oliveira,Jim Miller,Lightweight
54,UFC Fight Night: Lee vs. Iaquinta,Zak Ottow,Dwight Grant,Welterweight
55,UFC Fight Night: Lee vs. Iaquinta,Drakkar Klose,Bobby Green,Lightweight
56,UFC Fight Night: Lee vs. Iaquinta,Joaquim Silva,Jared Gordon,Lightweight
57,UFC Fight Night: Lee vs. Iaquinta,Jack Hermansson,Gerald Meerschaert,Middleweight
58,UFC Fight Night: Lee vs. Iaquinta,Zak Cummings,Trevor Smith,Middleweight
59,UFC Fight Night: Lee vs. Iaquinta,Dan Ige,Jordan Griffin,Featherweight
60,UFC Fight Night: Lee vs. Iaquinta,Mike Rodriguez,Adam Milstead,Light Heavyweight
61,UFC Fight Night: Lee vs. Iaquinta,Juan Adams,Chris de la Rocha,Heavyweight
62,UFC 231: Holloway vs. Ortega,Max Holloway,Brian Ortega,Featherweight
63,UFC 231: Holloway vs. Ortega,Valentina Shevchenko,Joanna Jedrzejczyk,Women's Flyweight
64,UFC 231: Holloway vs. Ortega,Gunnar Nelson,Alex Oliveira,Welterweight
65,UFC 231: Holloway vs. Ortega,Hakeem Dawodu,Kyle Bochniak,Featherweight
66,UFC 231: Holloway vs. Ortega,Thiago Santos,Jimi Manuwa,Light Heavyweight
67,UFC 231: Holloway vs. Ortega,Nina Ansaroff,Claudia Gadelha,Women's Strawweight
68,UFC 231: Holloway vs. Ortega,Gilbert Burns,Olivier Aubin-Mercier,Lightweight
69,UFC 231: Holloway vs. Ortega,Jessica Eye,Katlyn Chookagian,Women's Flyweight
70,UFC 231: Holloway vs. Ortega,Elias Theodorou,Eryk Anders,Middleweight
71,UFC 231: Holloway vs. Ortega,Brad Katona,Matthew Lopez,Bantamweight
72,UFC 231: Holloway vs. Ortega,Dhiego Lima,Chad Laprise,Welterweight
73,UFC 231: Holloway vs. Ortega,Diego Ferreira,Kyle Nelson,Lightweight
74,UFC 231: Holloway vs. Ortega,Aleksandar Rakic,Devin Clark,Light Heavyweight
75,UFC Fight Night: Dos Santos vs. Tuivasa,Junior Dos Santos,Tai Tuivasa,Heavyweight
76,UFC Fight Night: Dos Santos vs. Tuivasa,Mauricio Rua,Tyson Pedro,Light Heavyweight
77,UFC Fight Night: Dos Santos vs. Tuivasa,Justin Willis,Mark Hunt,Heavyweight
78,UFC Fight Night: Dos Santos vs. Tuivasa,Anthony Rocco Martin,Jake Matthews,Welterweight
79,UFC Fight Night: Dos Santos vs. Tuivasa,Sodiq Yusuff,Suman Mokhtarian,Featherweight
80,UFC Fight Night: Dos Santos vs. Tuivasa,Jimmy Crute,Paul Craig,Light Heavyweight
81,UFC Fight Night: Dos Santos vs. Tuivasa,Aleksei Kunchenko,Yushin Okami,Welterweight
82,UFC Fight Night: Dos Santos vs. Tuivasa,Wilson Reis,Ben Nguyen,Flyweight
83,UFC Fight Night: Dos Santos vs. Tuivasa,Keita Nakamura,Salim Touahri,Welterweight
84,UFC Fight Night: Dos Santos vs. Tuivasa,Kai Kara-France,Elias Garcia,Flyweight
85,UFC Fight Night: Dos Santos vs. Tuivasa,Christos Giagos,Mizuto Hirota,Lightweight
86,UFC Fight Night: Dos Santos vs. Tuivasa,Damir Ismagulov,Alex Gorgees,Lightweight
87,UFC - TUF 28 Finale,Kamaru Usman,Rafael Dos Anjos,Welterweight
88,UFC - TUF 28 Finale,Juan Espino,Justin Frazier,Heavyweight
89,UFC - TUF 28 Finale,Macy Chiasson,Pannie Kianzad,Women's Featherweight
90,UFC - TUF 28 Finale,Pedro Munhoz,Bryan Caraway,Bantamweight
91,UFC - TUF 28 Finale,Edmen Shahbazyan,Darren Stewart,Middleweight
92,UFC - TUF 28 Finale,Antonina Shevchenko,Ji Yeon Kim,Women's Flyweight
93,UFC - TUF 28 Finale,Kevin Aguilar,Rick Glenn,Featherweight
94,UFC - TUF 28 Finale,Joseph Benavidez,Alex Perez,Flyweight
95,UFC - TUF 28 Finale,Maurice Greene,Michel Batista,Heavyweight
96,UFC - TUF 28 Finale,Leah Letson,Julija Stoliarenko,Women's Featherweight
97,UFC - TUF 28 Finale,Roosevelt Roberts,Darrell Horcher,Lightweight
98,UFC - TUF 28 Finale,Tim Means,Ricky Rainey,Welterweight
99,UFC - TUF 28 Finale,Raoni Barcelos,Chris Gutierrez,Bantamweight
100,UFC Fight Night: Blaydes vs. Ngannou 2,Francis Ngannou,Curtis Blaydes,Heavyweight
101,UFC Fight Night: Blaydes vs. Ngannou 2,Alistair Overeem,Sergei Pavlovich,Heavyweight
102,UFC Fight Night: Blaydes vs. Ngannou 2,Song Yadong,Vince Morales,Bantamweight
103,UFC Fight Night: Blaydes vs. Ngannou 2,Li Jingliang,David Zawada,Welterweight
104,UFC Fight Night: Blaydes vs. Ngannou 2,Alex Morono,Song Kenan,Welterweight
105,UFC Fight Night: Blaydes vs. Ngannou 2,Wu Yanan,Lauren Mueller,Women's Flyweight
106,UFC Fight Night: Blaydes vs. Ngannou 2,Rashad Coulter,Hu Yaozong,Light Heavyweight
107,UFC Fight Night: Blaydes vs. Ngannou 2,Zhang Weili,Jessica Aguilar,Women's Strawweight
108,UFC Fight Night: Blaydes vs. Ngannou 2,Liu Pingyuan,Martin Day,Bantamweight
109,UFC Fight Night: Blaydes vs. Ngannou 2,Yan Xiaonan,Syuri Kondo,Women's Strawweight
110,UFC Fight Night: Blaydes vs. Ngannou 2,Kevin Holland,John Phillips,Middleweight
111,UFC Fight Night: Blaydes vs. Ngannou 2,Louis Smolka,Su Mudaerji,Bantamweight
112,UFC Fight Night: Magny vs. Ponzinibbio,Santiago Ponzinibbio,Neil Magny,Welterweight
113,UFC Fight Night: Magny vs. Ponzinibbio,Ricardo Lamas,Darren Elkins,Featherweight
114,UFC Fight Night: Magny vs. Ponzinibbio,Johnny Walker,Khalil Rountree Jr.,Light Heavyweight
115,UFC Fight Night: Magny vs. Ponzinibbio,Ian Heinisch,Cezar Ferreira,Middleweight
116,UFC Fight Night: Magny vs. Ponzinibbio,Marlon Vera,Guido Cannetti,Bantamweight
117,UFC Fight Night: Magny vs. Ponzinibbio,Cynthia Calvillo,Poliana Botelho,Women's Strawweight
118,UFC Fight Night: Magny vs. Ponzinibbio,Michel Prazeres,Bartosz Fabinski,Welterweight
119,UFC Fight Night: Magny vs. Ponzinibbio,Alexandre Pantoja,Ulka Sasaki,Flyweight
120,UFC Fight Night: Magny vs. Ponzinibbio,Austin Arnett,Humberto Bandenay,Featherweight
121,UFC Fight Night: Magny vs. Ponzinibbio,Laureano Staropoli,Hector Aldana,Welterweight
122,UFC Fight Night: Magny vs. Ponzinibbio,Jesus Pinedo,Devin Powell,Lightweight
123,UFC Fight Night: Magny vs. Ponzinibbio,Nad Narimani,Anderson Dos Santos,Featherweight
124,UFC Fight Night: Korean Zombie vs. Rodriguez,Yair Rodriguez,Chan Sung Jung,Featherweight
125,UFC Fight Night: Korean Zombie vs. Rodriguez,Donald Cerrone,Mike Perry,Welterweight
126,UFC Fight Night: Korean Zombie vs. Rodriguez,Germaine de Randamie,Raquel Pennington,Women's Bantamweight
127,UFC Fight Night: Korean Zombie vs. Rodriguez,Beneil Dariush,Thiago Moises,Lightweight
128,UFC Fight Night: Korean Zombie vs. Rodriguez,Maycee Barber,Hannah Cifers,Women's Strawweight
129,UFC Fight Night: Korean Zombie vs. Rodriguez,Michael Trizano,Luis Pena,Lightweight
130,UFC Fight Night: Korean Zombie vs. Rodriguez,Ashley Yoder,Amanda Cooper,Women's Strawweight
131,UFC Fight Night: Korean Zombie vs. Rodriguez,Bobby Moffett,Chas Skelly,Featherweight
132,UFC Fight Night: Korean Zombie vs. Rodriguez,Davi Ramos,John Gunther,Lightweight
133,UFC Fight Night: Korean Zombie vs. Rodriguez,Devonte Smith,Julian Erosa,Lightweight
134,UFC Fight Night: Korean Zombie vs. Rodriguez,Eric Shelton,Joseph Morales,Flyweight
135,UFC Fight Night: Korean Zombie vs. Rodriguez,Mark De La Rosa,Joby Sanchez,Bantamweight
136,UFC 230: Cormier vs. Lewis,Daniel Cormier,Derrick Lewis,Heavyweight
137,UFC 230: Cormier vs. Lewis,Jacare Souza,Chris Weidman,Middleweight
138,UFC 230: Cormier vs. Lewis,Jared Cannonier,David Branch,Middleweight
139,UFC 230: Cormier vs. Lewis,Karl Roberson,Jack Marshman,Middleweight
140,UFC 230: Cormier vs. Lewis,Israel Adesanya,Derek Brunson,Middleweight
141,UFC 230: Cormier vs. Lewis,Jordan Rinaldi,Jason Knight,Featherweight
142,UFC 230: Cormier vs. Lewis,Sijara Eubanks,Roxanne Modafferi,Women's Flyweight
143,UFC 230: Cormier vs. Lewis,Sheymon Moraes,Julio Arce,Featherweight
144,UFC 230: Cormier vs. Lewis,Lyman Good,Ben Saunders,Welterweight
145,UFC 230: Cormier vs. Lewis,Matt Frevola,Lando Vannata,Lightweight
146,UFC 230: Cormier vs. Lewis,Shane Burgos,Kurt Holobaugh,Featherweight
147,UFC 230: Cormier vs. Lewis,Marcos Rogerio de Lima,Adam Wieczorek,Heavyweight
148,UFC Fight Night: Oezdemir vs. Smith,Anthony Smith,Volkan Oezdemir,Light Heavyweight
149,UFC Fight Night: Oezdemir vs. Smith,Michael Johnson,Artem Lobov,Featherweight
150,UFC Fight Night: Oezdemir vs. Smith,Misha Cirkunov,Patrick Cummins,Light Heavyweight
151,UFC Fight Night: Oezdemir vs. Smith,Andre Soukhamthath,Jonathan Martinez,Bantamweight
152,UFC Fight Night: Oezdemir vs. Smith,Gian Villante,Ed Herman,Light Heavyweight
153,UFC Fight Night: Oezdemir vs. Smith,Court McGee,Alex Garcia,Welterweight
154,UFC Fight Night: Oezdemir vs. Smith,Sean Strickland,Nordine Taleb,Welterweight
155,UFC Fight Night: Oezdemir vs. Smith,Nasrat Haqparast,Thibault Gouti,Lightweight
156,UFC Fight Night: Oezdemir vs. Smith,Calvin Kattar,Chris Fishgold,Featherweight
157,UFC Fight Night: Oezdemir vs. Smith,Talita Bernardo,Sarah Moras,Women's Bantamweight
158,UFC Fight Night: Oezdemir vs. Smith,Don Madge,Te Edwards,Lightweight
159,UFC Fight Night: Oezdemir vs. Smith,Arjan Bhullar,Marcelo Golm,Heavyweight
160,UFC Fight Night: Oezdemir vs. Smith,Stevie Ray,Jessin Ayari,Lightweight
161,UFC 229: Khabib vs. McGregor,Khabib Nurmagomedov,Conor McGregor,Lightweight
162,UFC 229: Khabib vs. McGregor,Tony Ferguson,Anthony Pettis,Lightweight
163,UFC 229: Khabib vs. McGregor,Dominick Reyes,Ovince Saint Preux,Light Heavyweight
164,UFC 229: Khabib vs. McGregor,Derrick Lewis,Alexander Volkov,Heavyweight
165,UFC 229: Khabib vs. McGregor,Michelle Waterson,Felice Herrig,Women's Strawweight
166,UFC 229: Khabib vs. McGregor,Jussier Formiga,Sergio Pettis,Flyweight
167,UFC 229: Khabib vs. McGregor,Vicente Luque,Jalin Turner,Welterweight
168,UFC 229: Khabib vs. McGregor,Aspen Ladd,Tonya Evinger,Women's Bantamweight
169,UFC 229: Khabib vs. McGregor,Scott Holtzman,Alan Patrick,Lightweight
170,UFC 229: Khabib vs. McGregor,Yana Kunitskaya,Lina Lansberg,Women's Bantamweight
171,UFC 229: Khabib vs. McGregor,Nik Lentz,Gray Maynard,Lightweight
172,UFC 229: Khabib vs. McGregor,Anthony Rocco Martin,Ryan LaFlare,Welterweight
173,UFC Fight Night: Marreta vs. Anders,Thiago Santos,Eryk Anders,Light Heavyweight
174,UFC Fight Night: Marreta vs. Anders,Alex Oliveira,Carlo Pedersoli,Welterweight
175,UFC Fight Night: Marreta vs. Anders,Rogerio Nogueira,Sam Alvey,Light Heavyweight
176,UFC Fight Night: Marreta vs. Anders,Andre Ewell,Renan Barao,Bantamweight
177,UFC Fight Night: Marreta vs. Anders,Randa Markos,Marina Rodriguez,Women's Strawweight
178,UFC Fight Night: Marreta vs. Anders,Charles Oliveira,Christos Giagos,Lightweight
179,UFC Fight Night: Marreta vs. Anders,Francisco Trinaldo,Evan Dunham,Lightweight
180,UFC Fight Night: Marreta vs. Anders,Ryan Spann,Luis Henrique,Light Heavyweight
181,UFC Fight Night: Marreta vs. Anders,Augusto Sakai,Chase Sherman,Heavyweight
182,UFC Fight Night: Marreta vs. Anders,Sergio Moraes,Ben Saunders,Welterweight
183,UFC Fight Night: Marreta vs. Anders,Mayra Bueno Silva,Gillian Robertson,Women's Flyweight
184,UFC Fight Night: Marreta vs. Anders,Thales Leites,Hector Lombard,Middleweight
185,UFC Fight Night: Marreta vs. Anders,Elizeu Zaleski dos Santos,Luigi Vendramini,Welterweight
186,UFC Fight Night: Marreta vs. Anders,Livinha Souza,Alex Chambers,Women's Strawweight
187,UFC Fight Night: Hunt vs. Oleinik,Aleksei Oleinik,Mark Hunt,Heavyweight
188,UFC Fight Night: Hunt vs. Oleinik,Jan Blachowicz,Nikita Krylov,Light Heavyweight
189,UFC Fight Night: Hunt vs. Oleinik,Shamil Abdurakhimov,Andrei Arlovski,Heavyweight
190,UFC Fight Night: Hunt vs. Oleinik,Aleksei Kunchenko,Thiago Alves,Welterweight
191,UFC Fight Night: Hunt vs. Oleinik,Khalid Murtazaliev,CB Dollaway,Middleweight
192,UFC Fight Night: Hunt vs. Oleinik,Petr Yan,Jin Soo Son,Bantamweight
193,UFC Fight Night: Hunt vs. Oleinik,Rustam Khabilov,Kajan Johnson,Lightweight
194,UFC Fight Night: Hunt vs. Oleinik,Mairbek Taisumov,Desmond Green,Lightweight
195,UFC Fight Night: Hunt vs. Oleinik,Magomed Ankalaev,Marcin Prachnio,Light Heavyweight
196,UFC Fight Night: Hunt vs. Oleinik,Jordan Johnson,Adam Yandiev,Middleweight
197,UFC Fight Night: Hunt vs. Oleinik,Ramazan Emeev,Stefan Sekulic,Welterweight
198,UFC Fight Night: Hunt vs. Oleinik,Merab Dvalishvili,Terrion Ware,Bantamweight
199,UFC 228: Woodley vs. Till,Tyron Woodley,Darren Till,Welterweight
200,UFC 228: Woodley vs. Till,Jessica Andrade,Karolina Kowalkiewicz,Women's Strawweight
201,UFC 228: Woodley vs. Till,Zabit Magomedsharipov,Brandon Davis,Featherweight
202,UFC 228: Woodley vs. Till,Jimmie Rivera,John Dodson,Bantamweight
203,UFC 228: Woodley vs. Till,Abdul Razak Alhassan,Niko Price,Welterweight
204,UFC 228: Woodley vs. Till,Tatiana Suarez,Carla Esparza,Women's Strawweight
205,UFC 228: Woodley vs. Till,Aljamain Sterling,Cody Stamann,Bantamweight
206,UFC 228: Woodley vs. Till,Geoff Neal,Frank Camacho,Welterweight
207,UFC 228: Woodley vs. Till,Darren Stewart,Charles Byrd,Middleweight
208,UFC 228: Woodley vs. Till,Diego Sanchez,Craig White,Welterweight
209,UFC 228: Woodley vs. Till,Jim Miller,Alex White,Lightweight
210,UFC 228: Woodley vs. Till,Irene Aldana,Lucie Pudilova,Women's Bantamweight
211,UFC 228: Woodley vs. Till,Jarred Brooks,Roberto Sanchez,Flyweight
212,UFC Fight Night: Gaethje vs. Vick,Justin Gaethje,James Vick,Lightweight
213,UFC Fight Night: Gaethje vs. Vick,Michael Johnson,Andre Fili,Featherweight
214,UFC Fight Night: Gaethje vs. Vick,Cortney Casey,Angela Hill,Women's Strawweight
215,UFC Fight Night: Gaethje vs. Vick,Bryan Barberena,Jake Ellenberger,Welterweight
216,UFC Fight Night: Gaethje vs. Vick,Deiveson Figueiredo,John Moraga,Flyweight
217,UFC Fight Night: Gaethje vs. Vick,Eryk Anders,Tim Williams,Middleweight
218,UFC Fight Night: Gaethje vs. Vick,James Krause,Warlley Alves,Welterweight
219,UFC Fight Night: Gaethje vs. Vick,Cory Sandhagen,Iuri Alcantara,Bantamweight
220,UFC Fight Night: Gaethje vs. Vick,Andrew Sanchez,Markus Perez,Middleweight
221,UFC Fight Night: Gaethje vs. Vick,Mickey Gall,George Sullivan,Welterweight
222,UFC Fight Night: Gaethje vs. Vick,Joanne Calderwood,Kalindra Faria,Women's Flyweight
223,UFC Fight Night: Gaethje vs. Vick,Drew Dober,Jon Tuck,Lightweight
224,UFC Fight Night: Gaethje vs. Vick,Rani Yahya,Luke Sanders,Bantamweight
225,UFC 227: Dillashaw vs. Garbrandt 2,TJ Dillashaw,Cody Garbrandt,Bantamweight
226,UFC 227: Dillashaw vs. Garbrandt 2,Henry Cejudo,Demetrious Johnson,Flyweight
227,UFC 227: Dillashaw vs. Garbrandt 2,Renato Moicano,Cub Swanson,Featherweight
228,UFC 227: Dillashaw vs. Garbrandt 2,JJ Aldrich,Polyana Viana,Women's Strawweight
229,UFC 227: Dillashaw vs. Garbrandt 2,Thiago Santos,Kevin Holland,Middleweight
230,UFC 227: Dillashaw vs. Garbrandt 2,Pedro Munhoz,Brett Johns,Bantamweight
231,UFC 227: Dillashaw vs. Garbrandt 2,Ricky Simon,Montel Jackson,Bantamweight
232,UFC 227: Dillashaw vs. Garbrandt 2,Ricardo Ramos,Kyung Ho Kang,Bantamweight
233,UFC 227: Dillashaw vs. Garbrandt 2,Sheymon Moraes,Matt Sayles,Featherweight
234,UFC 227: Dillashaw vs. Garbrandt 2,Alex Perez,Jose Torres,Flyweight
235,UFC 227: Dillashaw vs. Garbrandt 2,Zhang Weili,Danielle Taylor,Women's Strawweight
236,UFC 227: Dillashaw vs. Garbrandt 2,Marlon Vera,Wuliji Buren,Bantamweight
237,UFC Fight Night: Alvarez vs. Poirier 2,Dustin Poirier,Eddie Alvarez,Lightweight
238,UFC Fight Night: Alvarez vs. Poirier 2,Jose Aldo,Jeremy Stephens,Featherweight
239,UFC Fight Night: Alvarez vs. Poirier 2,Joanna Jedrzejczyk,Tecia Torres,Women's Strawweight
240,UFC Fight Night: Alvarez vs. Poirier 2,Alexander Hernandez,Olivier Aubin-Mercier,Lightweight
241,UFC Fight Night: Alvarez vs. Poirier 2,Jordan Mein,Alex Morono,Welterweight
242,UFC Fight Night: Alvarez vs. Poirier 2,Hakeem Dawodu,Austin Arnett,Featherweight
243,UFC Fight Night: Alvarez vs. Poirier 2,Islam Makhachev,Kajan Johnson,Lightweight
244,UFC Fight Night: Alvarez vs. Poirier 2,Ion Cutelaba,Gadzhimurad Antigulov,Light Heavyweight
245,UFC Fight Night: Alvarez vs. Poirier 2,John Makdessi,Ross Pearson,Lightweight
246,UFC Fight Night: Alvarez vs. Poirier 2,Katlyn Chookagian,Alexis Davis,Women's Flyweight
247,UFC Fight Night: Alvarez vs. Poirier 2,Dustin Ortiz,Matheus Nicolau,Flyweight
248,UFC Fight Night: Alvarez vs. Poirier 2,Nina Ansaroff,Randa Markos,Women's Strawweight
249,UFC Fight Night: Alvarez vs. Poirier 2,Devin Powell,Alvaro Herrera,Lightweight
250,UFC Fight Night: Shogun vs. Smith,Anthony Smith,Mauricio Rua,Light Heavyweight
251,UFC Fight Night: Shogun vs. Smith,Corey Anderson,Glover Teixeira,Light Heavyweight
252,UFC Fight Night: Shogun vs. Smith,Abu Azaitar,Vitor Miranda,Middleweight
253,UFC Fight Night: Shogun vs. Smith,Marcin Tybura,Stefan Struve,Heavyweight
254,UFC Fight Night: Shogun vs. Smith,Danny Roberts,David Zawada,Welterweight
255,UFC Fight Night: Shogun vs. Smith,Nasrat Haqparast,Marc Diakiese,Lightweight
256,UFC Fight Night: Shogun vs. Smith,Damir Hadzovic,Nick Hein,Lightweight
257,UFC Fight Night: Shogun vs. Smith,Bartosz Fabinski,Emil Meek,Welterweight
258,UFC Fight Night: Shogun vs. Smith,Nad Narimani,Khalid Taha,Featherweight
259,UFC Fight Night: Shogun vs. Smith,Aleksandar Rakic,Justin Ledet,Light Heavyweight
260,UFC Fight Night: Shogun vs. Smith,Manny Bermudez,Davey Grant,Bantamweight
261,UFC Fight Night: Shogun vs. Smith,Darko Stosic,Jeremy Kimball,Light Heavyweight
262,UFC Fight Night: Shogun vs. Smith,Liu Pingyuan,Damian Stasiak,Bantamweight
263,UFC Fight Night: Dos Santos vs. Ivanov,Junior Dos Santos,Blagoy Ivanov,Heavyweight
264,UFC Fight Night: Dos Santos vs. Ivanov,Sage Northcutt,Zak Ottow,Welterweight
265,UFC Fight Night: Dos Santos vs. Ivanov,Rick Glenn,Dennis Bermudez,Featherweight
266,UFC Fight Night: Dos Santos vs. Ivanov,Niko Price,Randy Brown,Welterweight
267,UFC Fight Night: Dos Santos vs. Ivanov,Chad Mendes,Myles Jury,Featherweight
268,UFC Fight Night: Dos Santos vs. Ivanov,Cat Zingano,Marion Reneau,Women's Bantamweight
269,UFC Fight Night: Dos Santos vs. Ivanov,Alejandro Perez,Eddie Wineland,Bantamweight
270,UFC Fight Night: Dos Santos vs. Ivanov,Alexander Volkanovski,Darren Elkins,Featherweight
271,UFC Fight Night: Dos Santos vs. Ivanov,Said Nurmagomedov,Justin Scoggins,Flyweight
272,UFC Fight Night: Dos Santos vs. Ivanov,Raoni Barcelos,Kurt Holobaugh,Featherweight
273,UFC Fight Night: Dos Santos vs. Ivanov,Liz Carmouche,Jennifer Maia,Women's Flyweight
274,UFC Fight Night: Dos Santos vs. Ivanov,Mark De La Rosa,Elias Garcia,Flyweight
275,UFC Fight Night: Dos Santos vs. Ivanov,Jessica Aguilar,Jodie Esquibel,Women's Strawweight
276,UFC 226: Miocic vs. Cormier,Daniel Cormier,Stipe Miocic,Heavyweight
277,UFC 226: Miocic vs. Cormier,Derrick Lewis,Francis Ngannou,Heavyweight
278,UFC 226: Miocic vs. Cormier,Mike Perry,Paul Felder,Welterweight
279,UFC 226: Miocic vs. Cormier,Anthony Pettis,Michael Chiesa,Lightweight
280,UFC 226: Miocic vs. Cormier,Khalil Rountree Jr.,Gokhan Saki,Light Heavyweight
281,UFC 226: Miocic vs. Cormier,Paulo Costa,Uriah Hall,Middleweight
282,UFC 226: Miocic vs. Cormier,Raphael Assuncao,Rob Font,Bantamweight
283,UFC 226: Miocic vs. Cormier,Drakkar Klose,Lando Vannata,Lightweight
284,UFC 226: Miocic vs. Cormier,Curtis Millender,Max Griffin,Welterweight
285,UFC 226: Miocic vs. Cormier,Dan Hooker,Gilbert Burns,Lightweight
286,UFC 226: Miocic vs. Cormier,Emily Whitmire,Jamie Moyle,Women's Strawweight
287,UFC - TUF 27 Finale,Israel Adesanya,Brad Tavares,Middleweight
288,UFC - TUF 27 Finale,Michael Trizano,Joe Giannetti,Lightweight
289,UFC - TUF 27 Finale,Brad Katona,Jay Cucciniello,Featherweight
290,UFC - TUF 27 Finale,Alex Caceres,Martin Bravo,Featherweight
291,UFC - TUF 27 Finale,Roxanne Modafferi,Barb Honchak,Women's Flyweight
